Date,weights
2005-01-31,-0.003825911738125588
2005-02-28,0.028647047886378743
2005-03-31,-0.03177837045534307
2005-04-30,-0.02096677209405035
2005-05-31,0.06770885499230807
2005-06-30,-0.004424615276667598
2005-07-31,0.06326183906379795
2005-08-31,0.005813026100186343
2005-09-30,0.03211209357350992
2005-10-31,0.0013688650770410267
2005-11-30,0.06927236928059022
2005-12-31,0.006182028994203635
2006-01-31,0.048480712174942514
2006-02-28,-0.02127539293028132
2006-03-31,0.014297626552814122
2006-04-30,0.00932696811782335
2006-05-31,-0.060713009266995126
2006-06-30,0.00794821340193535
2006-07-31,-0.004209115618900867
2006-08-31,0.0396874183681161
2006-09-30,0.04295811121856549
2006-10-31,0.05498326912991389
2006-11-30,0.0316541086589979
2006-12-31,-0.0047802267155367
2007-01-31,0.014233618695892137
2007-02-28,-0.021784069029403174
2007-03-31,0.010901290684811063
2007-04-30,0.06581785723172069
2007-05-31,0.050825009048306086
2007-06-30,-0.009207213650387567
2007-07-31,-0.005228996219753146
2007-08-31,0.02315794516527283
2007-09-30,0.04758632972637358
2007-10-31,0.06026054139031686
2007-11-30,-0.04131457527622651
2007-12-31,0.01130838991597671
2008-01-31,-0.10924433008783532
2008-02-29,-0.06085941590735473
2008-03-31,0.010278490131653611
2008-04-30,0.06862375030430344
2008-05-31,0.031369292635959584
2008-06-30,-0.10169304044753229
2008-07-31,-0.020592214842728156
2008-08-31,0.032345735067976056
2008-09-30,-0.11053952004223072
2008-10-31,-0.18332850837228296
2008-11-30,-0.11495051018309062
2008-12-31,0.02789561877630889
2009-01-31,-0.05906394856661948
2009-02-28,-0.08612464235122706
2009-03-31,0.11093796863897176
2009-04-30,0.12060043192841542
2009-05-31,0.036631948674012996
2009-06-30,0.023477158360088166
2009-07-31,0.07406636141837385
2009-08-31,0.03947322784248387
2009-09-30,0.044200192252121136
2009-10-31,-0.00299274999693502
2009-11-30,0.06935761184968878
2009-12-31,0.04486746529778039
2010-01-31,-0.05592829629945695
2010-02-28,0.030433741588015914
2010-03-31,0.06703403377491485
2010-04-30,0.021642594720682633
2010-05-31,-0.07814555784886823
2010-06-30,-0.0678341303290032
2010-07-31,0.06016368990078777
2010-08-31,-0.042200669972156546
2010-09-30,0.10527666569292522
2010-10-31,0.045489397277799555
2010-11-30,0.002734634376792373
2010-12-31,0.06541958604206603
2011-01-31,0.03746835082382368
2011-02-28,0.023912667937736668
2011-03-31,-0.006537450632451642
2011-04-30,0.028909091402076544
2011-05-31,-0.0058471864336414915
2011-06-30,-0.022713324736671453
2011-07-31,-0.0015141146581951533
2011-08-31,-0.0476678445478956
2011-09-30,-0.06515755854249693
2011-10-31,0.09416641958641508
2011-11-30,-0.012015598890976684
2011-12-31,0.010424656535350681
2012-01-31,0.06651554255053321
2012-02-29,0.04858436958468903
2012-03-31,0.04414582455435785
2012-04-30,-0.012622917637634495
2012-05-31,-0.06002394337815731
2012-06-30,0.03719084337176419
2012-07-31,0.002848089492794341
2012-08-31,0.03800017517511297
2012-09-30,0.01649171375101381
2012-10-31,-0.028228896581078255
2012-11-30,0.007344597447591759
2012-12-31,0.006112798219030997
2013-01-31,0.04025124730284097
2013-02-28,0.013183458301364059
2013-03-31,0.029703883732207958
2013-04-30,0.03049341985918563
2013-05-31,0.032362730371682344
2013-06-30,-0.019052899065477476
2013-07-31,0.045932504494907045
2013-08-31,-0.014083638224094721
2013-09-30,0.03285576321125728
2013-10-31,0.04996640423372592
2013-11-30,0.03959588243805313
2013-12-31,0.02111427831102643
2014-01-31,-0.028139688473368982
2014-02-28,0.04730084179480335
2014-03-31,0.004029322626823761
2014-04-30,-6.54801192389795e-05
2014-05-31,0.030513646232192188
2014-06-30,0.023255927545683536
2014-07-31,-0.01227971350057313
2014-08-31,0.0487931481078642
2014-09-30,-0.012480124067212005
2014-10-31,0.027320410144008343
2014-11-30,0.03572159309748082
2014-12-31,-0.0131192388731634
2015-01-31,-0.020691057255184442
2015-02-28,0.06776805740574798
2015-03-31,-0.020635184928120304
2015-04-30,0.022035878344987568
2015-05-31,0.015181978881150191
2015-06-30,-0.023655938764769634
2015-07-31,0.02952336592799112
2015-08-31,-0.051110327739030424
2015-09-30,-0.013517102820933751
2015-10-31,0.094395643859433
2015-11-30,0.016533419071411516
2015-12-31,-0.015293281062640433
2016-01-31,-0.059669515508739356
2016-02-29,-0.004653513490726634
2016-03-31,0.07848132579935073
2016-04-30,-0.009119198842250351
2016-05-31,0.04369158594783467
2016-06-30,-0.0029210259354988718
2016-07-31,0.056341658036606214
2016-08-31,0.009108206341523449
2016-09-30,0.012987766523186995
2016-10-31,-0.011783316371099788
2016-11-30,0.036372280611857974
2016-12-31,0.026603456275231002
2017-01-31,0.02867036180459362
2017-02-28,0.04119965122730692
2017-03-31,0.012589147993468833
2017-04-30,0.016439896621119627
2017-05-31,0.036137244459817135
2017-06-30,-0.004325191969596605
2017-07-31,0.027243044650886006
2017-08-31,0.01426711018961806
2017-09-30,0.016110721275805935
2017-10-31,0.04694361841640134
2017-11-30,0.029438292080917944
2017-12-31,0.005702552464953315
2018-01-31,0.06797772781880487
2018-02-28,-0.028128182826722775
2018-03-31,-0.023278773234756744
2018-04-30,0.005650020978702648
2018-05-31,0.04050222094244531
2018-06-30,0.0053435594564963575
2018-07-31,0.04471649553640975
2018-08-31,0.049682266860984876
2018-09-30,0.005731712022825583
2018-10-31,-0.08147509256961519
2018-11-30,0.004583244704026419
2018-12-31,-0.09663984019463474
2019-01-31,0.07585549228416216
2019-02-28,0.03698120999282254
