ticker,weights
AAPL,0.08727184818082918
MSFT,0.08449172005318505
AMZN,0.04242717273056931
NVDA,0.036383415931342915
GOOGL,0.025142028284781816
GOOG,0.02127402393327692
JPM,0.01474676659011241
UNH,0.014625891454127883
LLY,0.013900640638220715
XOM,0.01245013900640638
JNJ,0.011362262782545627
HD,0.01063701196663846
PG,0.010395261694669405
COST,0.008944760062855068
ADBE,0.008340384382932428
MRK,0.008219509246947901
CVX,0.008098634110963374
CRM,0.007736008703009789
PEP,0.007010757887102621
BAC,0.007010757887102621
KO,0.006889882751118093
WMT,0.006769007615133566
AMD,0.006769007615133566
NFLX,0.00652725734316451
ACN,0.00652725734316451
MCD,0.006406382207179982
CSCO,0.0061646319352109255
TMO,0.0061646319352109255
LIN,0.006043756799226398
INTC,0.00592288166324187
ABT,0.0056811313912728135
WFC,0.005439381119303758
CMCSA,0.005439381119303758
INTU,0.00531850598331923
DIS,0.005076755711350174
ORCL,0.005076755711350174
VZ,0.004835005439381118
QCOM,0.004835005439381118
PFE,0.004835005439381118
TXN,0.004593255167412063
DHR,0.004593255167412063
NKE,0.004593255167412063
CAT,0.004593255167412063
BA,0.004472380031427534
AMGN,0.004472380031427534
IBM,0.004472380031427534
UNP,0.004472380031427534
SPGI,0.004230629759458478
COP,0.004230629759458478
GE,0.004109754623473951
HON,0.004109754623473951
AMAT,0.003988879487489423
LOW,0.0038680043515048946
GS,0.0037471292155203664
NEE,0.0037471292155203664
BKNG,0.0037471292155203664
PLD,0.0037471292155203664
T,0.0036262540795358386
RTX,0.0036262540795358386
MS,0.0035053789435513104
ISRG,0.0035053789435513104
UPS,0.0035053789435513104
BLK,0.003384503807566783
SBUX,0.003263628671582255
ELV,0.003263628671582255
MDT,0.003263628671582255
AXP,0.003142753535597727
DE,0.003142753535597727
BMY,0.003142753535597727
VRTX,0.003142753535597727
TJX,0.003142753535597727
SCHW,0.003021878399613199
LRCX,0.003021878399613199
CVS,0.003021878399613199
AMT,0.003021878399613199
GILD,0.003021878399613199
LMT,0.003021878399613199
SYK,0.003021878399613199
C,0.0029010032636286706
ADI,0.0029010032636286706
ADP,0.0029010032636286706
MDLZ,0.0029010032636286706
ETN,0.0029010032636286706
MMC,0.0027801281276441433
PGR,0.0027801281276441433
REGN,0.0027801281276441433
CB,0.0027801281276441433
CI,0.002659252991659615
MU,0.002659252991659615
SNPS,0.002538377855675087
BSX,0.002417502719690559
FI,0.002417502719690559
KLAC,0.0022966275837060313
SO,0.0022966275837060313
CME,0.0022966275837060313
SLB,0.0022966275837060313
EQIX,0.0022966275837060313
DUK,0.0022966275837060313
CDNS,0.0022966275837060313
SHW,0.002175752447721503
MO,0.002175752447721503
EOG,0.002175752447721503
ITW,0.002175752447721503
BDX,0.002175752447721503
CSX,0.0020548773117369753
USB,0.0020548773117369753
NOC,0.0019340021757524473
WM,0.0019340021757524473
CL,0.0019340021757524473
TGT,0.0019340021757524473
MCO,0.0018131270397679193
PNC,0.0018131270397679193
APD,0.0018131270397679193
MCK,0.0018131270397679193
FCX,0.0018131270397679193
AON,0.0018131270397679193
APH,0.0018131270397679193
PH,0.0018131270397679193
MMM,0.0018131270397679193
FDX,0.0016922519037833915
ROP,0.0016922519037833915
GD,0.0016922519037833915
ORLY,0.0016922519037833915
HUM,0.0016922519037833915
TT,0.0016922519037833915
EMR,0.0016922519037833915
MAR,0.0016922519037833915
PXD,0.0015713767677988635
NSC,0.0015713767677988635
MSI,0.0015713767677988635
ADSK,0.0015713767677988635
PCAR,0.0015713767677988635
CCI,0.0015713767677988635
ECL,0.0015713767677988635
WELL,0.0014505016318143353
COF,0.0014505016318143353
MCHP,0.0014505016318143353
CTAS,0.0014505016318143353
TFC,0.0014505016318143353
NEM,0.0014505016318143353
AJG,0.0014505016318143353
SPG,0.0014505016318143353
AIG,0.0014505016318143353
F,0.0014505016318143353
PSA,0.0014505016318143353
SRE,0.0014505016318143353
AZO,0.0014505016318143353
ROST,0.0014505016318143353
VLO,0.0013296264958298075
DHI,0.0013296264958298075
EW,0.0013296264958298075
IDXX,0.0013296264958298075
NUE,0.0013296264958298075
AFL,0.0013296264958298075
AEP,0.0013296264958298075
WMB,0.0013296264958298075
TRV,0.0013296264958298075
CPRT,0.0013296264958298075
PAYX,0.0012087513598452795
O,0.0012087513598452795
MET,0.0012087513598452795
A,0.0012087513598452795
HES,0.0012087513598452795
DLR,0.0012087513598452795
KMB,0.0012087513598452795
MNST,0.0012087513598452795
OKE,0.0012087513598452795
OXY,0.0012087513598452795
D,0.0012087513598452795
BK,0.0012087513598452795
LHX,0.0012087513598452795
CNC,0.0012087513598452795
STZ,0.0012087513598452795
URI,0.0012087513598452795
ADM,0.0012087513598452795
GIS,0.0010878762238607515
AME,0.0010878762238607515
JCI,0.0010878762238607515
CTSH,0.0010878762238607515
SYY,0.0010878762238607515
PRU,0.0010878762238607515
FAST,0.0010878762238607515
LEN,0.0010878762238607515
PCG,0.0010878762238607515
YUM,0.0010878762238607515
ODFL,0.0010878762238607515
GWW,0.0010878762238607515
BIIB,0.0010878762238607515
ALL,0.0010878762238607515
CSGP,0.0010878762238607515
ON,0.0010878762238607515
FIS,0.0010878762238607515
ROK,0.0010878762238607515
EXC,0.0010878762238607515
IT,0.0010878762238607515
PPG,0.0010878762238607515
BKR,0.0010878762238607515
CMI,0.0010878762238607515
XEL,0.0010878762238607515
EA,0.0009670010878762237
EL,0.0009670010878762237
COR,0.0009670010878762237
RSG,0.0009670010878762237
HAL,0.0009670010878762237
GPN,0.0009670010878762237
